ticker,variant,days_in_trade,bh_days,exposure_pct,round_trips,win_rate,avg_trade_return,med_days_per_trade,total_return,deployed_cagr,edge_vs_bh,intrade_sharpe,maxdd,bps_per_day,beat_bh_deployed_cagr,beat_bh_bps,beat_bh_intrade_sharpe
MTD,ANT_pup70,1703,2344,72.7,44,0.727,0.0229,32.5,1.1098,0.1168,-0.0264,0.518,-0.4684,4.38,False,False,False
MTD,ANT_all,1760,2344,75.1,45,0.733,0.0284,33.0,1.7588,0.1564,0.0132,0.636,-0.4299,5.77,True,True,True
MU,buy_and_hold,2514,2514,100.0,0,,,,19.1561,0.3513,0.0,0.865,-0.5782,11.95,False,False,False
MU,R1_confirmed,1530,2514,60.9,54,0.722,0.0253,22.5,1.8918,0.1911,-0.1602,0.602,-0.5271,6.94,False,False,False
MU,R1_share_ge50,1172,2514,46.6,45,0.689,0.0243,18.0,0.9909,0.1596,-0.1917,0.546,-0.509,5.88,False,False,False
MU,ANT_pup50,1885,2514,75.0,55,0.727,0.051,26.0,10.2143,0.3815,0.0302,0.906,-0.5344,12.82,True,True,True
MU,ANT_pup60,1864,2514,74.1,55,0.727,0.0491,26.0,9.1083,0.3672,0.0159,0.883,-0.5344,12.41,True,True,True
MU,ANT_pup70,1781,2514,70.8,54,0.704,0.0449,25.0,6.7113,0.3351,-0.0162,0.834,-0.5344,11.47,False,False,False
MU,ANT_all,1896,2514,75.4,55,0.727,0.0512,26.0,10.369,0.3814,0.0301,0.906,-0.5344,12.82,True,True,True
MUR,buy_and_hold,393,393,100.0,0,,,,0.1457,0.0911,0.0,0.434,-0.3361,3.46,False,False,False
MUR,R1_confirmed,316,393,80.4,5,0.6,0.101,25.0,0.2051,0.1604,0.0693,0.545,-0.3073,5.9,True,True,True
MUR,R1_share_ge50,237,393,60.3,3,0.333,0.0161,10.0,-0.1456,-0.154,-0.2451,-0.108,-0.2632,-6.64,False,False,False
MUR,ANT_pup50,359,393,91.3,5,0.8,0.127,27.0,0.3354,0.2251,0.134,0.641,-0.3085,8.06,True,True,True
MUR,ANT_pup60,359,393,91.3,5,0.8,0.127,27.0,0.3354,0.2251,0.134,0.641,-0.3085,8.06,True,True,True
MUR,ANT_pup70,346,393,88.0,5,0.8,0.122,27.0,0.303,0.2126,0.1215,0.622,-0.3085,7.65,True,True,True
MUR,ANT_all,359,393,91.3,5,0.8,0.127,27.0,0.3354,0.2251,0.134,0.641,-0.3085,8.06,True,True,True
MXIM,buy_and_hold,687,687,100.0,0,,,,0.8444,0.2518,0.0,0.813,-0.3496,8.91,False,False,False
MXIM,R1_confirmed,407,687,59.2,15,0.733,0.0337,22.0,0.5792,0.327,0.0752,0.915,-0.3411,11.23,True,True,True
MXIM,R1_share_ge50,211,687,30.7,11,0.727,0.0294,13.0,0.3281,0.4034,0.1516,0.953,-0.3539,13.45,True,True,True
MXIM,ANT_pup50,475,687,69.1,15,0.733,0.0537,25.0,1.0923,0.4795,0.2277,1.216,-0.3411,15.54,True,True,True
MXIM,ANT_pup60,473,687,68.9,15,0.733,0.0514,25.0,1.0249,0.4563,0.2045,1.174,-0.3411,14.92,True,True,True
MXIM,ANT_pup70,467,687,68.0,15,0.733,0.0519,25.0,1.0408,0.4695,0.2177,1.197,-0.3411,15.27,True,True,True
MXIM,ANT_all,477,687,69.4,15,0.733,0.0521,25.0,1.0476,0.4603,0.2085,1.182,-0.3411,15.02,True,True,True
MYL,buy_and_hold,1228,1228,100.0,0,,,,-0.7068,-0.2226,0.0,-0.414,-0.7549,-9.99,False,False,False
MYL,R1_confirmed,916,1228,74.6,14,0.571,-0.026,45.5,-0.4505,-0.1519,0.0707,-0.179,-0.5668,-6.54,True,True,True
MYL,R1_share_ge50,815,1228,66.4,12,0.417,-0.0439,49.0,-0.5314,-0.209,0.0136,-0.348,-0.612,-9.3,True,True,True
MYL,ANT_pup50,1113,1228,90.6,14,0.5,-0.0305,55.0,-0.5111,-0.1496,0.073,-0.194,-0.6199,-6.43,True,True,True
MYL,ANT_pup60,1112,1228,90.6,14,0.5,-0.0331,55.0,-0.5257,-0.1555,0.0671,-0.211,-0.6199,-6.71,True,True,True
MYL,ANT_pup70,1057,1228,86.1,14,0.5,-0.0357,55.0,-0.5315,-0.1654,0.0572,-0.24,-0.6328,-7.17,True,True,True
MYL,ANT_all,1113,1228,90.6,14,0.5,-0.0305,55.0,-0.5111,-0.1496,0.073,-0.194,-0.6199,-6.43,True,True,True
NAVI,buy_and_hold,609,609,100.0,0,,,,0.255,0.0986,0.0,0.439,-0.349,3.73,False,False,False
NAVI,R1_confirmed,475,609,78.0,11,0.727,0.0657,28.0,0.9393,0.421,0.3224,1.192,-0.2139,13.94,True,True,True
NAVI,R1_share_ge50,334,609,54.8,9,0.889,0.0588,15.0,0.6467,0.4569,0.3583,1.288,-0.2078,14.93,True,True,True
NAVI,ANT_pup50,533,609,87.5,11,0.818,0.07,51.0,1.0023,0.3886,0.29,1.094,-0.2687,13.03,True,True,True
NAVI,ANT_pup60,513,609,84.2,11,0.818,0.0883,32.0,1.4018,0.5379,0.4393,1.41,-0.2357,17.08,True,True,True
NAVI,ANT_pup70,505,609,82.9,11,0.818,0.087,32.0,1.3716,0.5387,0.4401,1.413,-0.2357,17.1,True,True,True
NAVI,ANT_all,533,609,87.5,11,0.818,0.07,51.0,1.0023,0.3886,0.29,1.094,-0.2687,13.03,True,True,True
NBL,buy_and_hold,1197,1197,100.0,0,,,,-0.7431,-0.2488,0.0,-0.207,-0.9275,-11.35,False,False,False
NBL,R1_confirmed,892,1197,74.5,15,0.667,0.0001,24.0,0.0672,0.0185,0.2673,0.269,-0.6163,0.73,True,True,True
NBL,R1_share_ge50,720,1197,60.2,13,0.692,0.0035,32.0,-0.2595,-0.0998,0.149,-0.105,-0.6275,-4.17,True,True,True
NBL,ANT_pup50,1046,1197,87.4,15,0.667,0.0138,29.0,-0.6328,-0.2145,0.0343,-0.104,-0.9132,-9.58,True,True,True
NBL,ANT_pup60,1017,1197,85.0,14,0.643,0.0145,31.5,-0.6335,-0.2202,0.0286,-0.116,-0.9127,-9.87,True,True,True
NBL,ANT_pup70,944,1197,78.9,14,0.714,0.0203,31.5,-0.6087,-0.2216,0.0272,-0.101,-0.9021,-9.94,True,True,True
NBL,ANT_all,1068,1197,89.2,16,0.625,0.0114,27.0,-0.6414,-0.2149,0.0339,-0.105,-0.9148,-9.6,True,True,True
NCLH,buy_and_hold,2065,2065,100.0,0,,,,-0.6208,-0.1116,0.0,0.15,-0.8725,-4.7,False,False,False
NCLH,R1_confirmed,1384,2065,67.0,33,0.636,0.046,28.0,0.7577,0.1082,0.2198,0.501,-0.8697,4.08,True,True,True
NCLH,R1_share_ge50,1113,2065,53.9,27,0.593,0.0323,16.0,0.0097,0.0022,0.1138,0.379,-0.8811,0.09,True,True,True
NCLH,ANT_pup50,1729,2065,83.7,34,0.471,0.019,35.0,-0.2256,-0.0366,0.075,0.289,-0.8759,-1.48,True,True,True
NCLH,ANT_pup60,1670,2065,80.9,33,0.515,0.0227,34.0,-0.1397,-0.0225,0.0891,0.316,-0.8697,-0.9,True,True,True
NCLH,ANT_pup70,1614,2065,78.2,31,0.516,0.0239,35.0,-0.1498,-0.025,0.0866,0.317,-0.8697,-1.01,True,True,True
NCLH,ANT_all,1748,2065,84.6,34,0.471,0.0208,36.5,-0.1757,-0.0275,0.0841,0.301,-0.8747,-1.11,True,True,True
NDAQ,buy_and_hold,2514,2514,100.0,0,,,,4.0093,0.1753,0.0,0.795,-0.386,6.41,False,False,False
NDAQ,R1_confirmed,1551,2514,61.7,52,0.769,0.0208,20.0,1.6838,0.174,-0.0013,0.747,-0.3791,6.37,False,False,False
NDAQ,R1_share_ge50,912,2514,36.3,37,0.838,0.0232,18.0,1.2384,0.2494,0.0741,1.096,-0.2149,8.84,True,True,True
NDAQ,ANT_pup50,1884,2514,74.9,51,0.765,0.0276,31.0,2.6057,0.1871,0.0118,0.808,-0.3867,6.81,True,True,True
NDAQ,ANT_pup60,1832,2514,72.9,50,0.78,0.0292,26.5,2.7695,0.2002,0.0249,0.85,-0.3867,7.24,True,True,True
NDAQ,ANT_pup70,1700,2514,67.6,48,0.771,0.0279,26.5,2.4032,0.1991,0.0238,0.833,-0.3867,7.2,True,True,True
NDAQ,ANT_all,1905,2514,75.8,52,0.769,0.0278,32.0,2.7438,0.1908,0.0155,0.82,-0.3867,6.93,True,True,True
NDSN,buy_and_hold,973,973,100.0,0,,,,0.0825,0.0207,0.0,0.209,-0.3994,0.81,False,False,False
NDSN,R1_confirmed,631,973,64.9,18,0.667,0.0032,26.0,0.0821,0.032,0.0113,0.251,-0.3541,1.25,True,True,True
NDSN,R1_share_ge50,438,973,45.0,15,0.8,0.0074,21.0,0.1672,0.093,0.0723,0.475,-0.245,3.53,True,True,True
NDSN,ANT_pup50,710,973,73.0,18,0.722,0.0154,33.5,0.3732,0.1192,0.0985,0.583,-0.354,4.47,True,True,True
NDSN,ANT_pup60,704,973,72.4,18,0.722,0.0172,33.5,0.4188,0.1334,0.1127,0.634,-0.354,4.97,True,True,True
NDSN,ANT_pup70,698,973,71.7,17,0.706,0.0157,39.0,0.3613,0.1178,0.0971,0.577,-0.354,4.42,True,True,True
NDSN,ANT_all,714,973,73.4,18,0.722,0.0161,33.5,0.3915,0.1237,0.103,0.601,-0.354,4.63,True,True,True
NEE,buy_and_hold,2514,2514,100.0,0,,,,2.091,0.1198,0.0,0.575,-0.4717,4.49,False,False,False
NEE,R1_confirmed,1406,2514,55.9,53,0.774,0.0172,16.0,1.056,0.1379,0.0181,0.663,-0.4647,5.13,True,True,True
NEE,R1_share_ge50,1016,2514,40.4,39,0.718,0.0043,13.0,0.0249,0.0061,-0.1137,0.15,-0.467,0.24,False,False,False
NEE,ANT_pup50,1808,2514,71.9,57,0.754,0.0184,23.0,1.3435,0.126,0.0062,0.578,-0.4615,4.71,True,True,True
NEE,ANT_pup60,1794,2514,71.4,57,0.754,0.0177,23.0,1.2573,0.1212,0.0014,0.562,-0.4615,4.54,True,True,False
NEE,ANT_pup70,1708,2514,67.9,53,0.717,0.0156,26.0,0.8754,0.0972,-0.0226,0.479,-0.4615,3.68,False,False,False
NEE,ANT_all,1808,2514,71.9,57,0.754,0.0184,23.0,1.3435,0.126,0.0062,0.578,-0.4615,4.71,True,True,True
NEM,buy_and_hold,2514,2514,100.0,0,,,,4.5503,0.1874,0.0,0.661,-0.6504,6.82,False,False,False
NEM,R1_confirmed,1429,2514,56.8,50,0.8,0.0261,16.5,1.7644,0.1964,0.009,0.691,-0.5013,7.12,True,True,True
NEM,R1_share_ge50,1138,2514,45.3,32,0.625,0.0103,20.5,0.0888,0.019,-0.1684,0.221,-0.6094,0.75,False,False,False
NEM,ANT_pup50,1807,2514,71.9,49,0.735,0.0365,26.0,3.0238,0.2143,0.0269,0.728,-0.5461,7.7,True,True,True
NEM,ANT_pup60,1763,2514,70.1,48,0.729,0.0357,27.5,2.7155,0.2064,0.019,0.712,-0.5461,7.44,True,True,True
NEM,ANT_pup70,1700,2514,67.6,48,0.708,0.0361,24.5,2.8066,0.2191,0.0317,0.76,-0.5416,7.86,True,True,True
NEM,ANT_all,1818,2514,72.3,50,0.74,0.0401,26.0,3.8662,0.2452,0.0578,0.8,-0.5461,8.7,True,True,True
NFLX,buy_and_hold,2514,2514,100.0,0,,,,7.1972,0.2348,0.0,0.717,-0.7595,8.37,False,False,False
NFLX,R1_confirmed,1544,2514,61.4,37,0.757,0.0481,28.0,1.1671,0.1345,-0.1003,0.513,-0.7595,5.01,False,False,False
NFLX,R1_share_ge50,1311,2514,52.1,33,0.727,0.0274,23.0,-0.0346,-0.0067,-0.2415,0.226,-0.8005,-0.27,False,False,False
NFLX,ANT_pup50,1861,2514,74.0,37,0.784,0.0638,35.0,2.6291,0.1907,-0.0441,0.623,-0.7595,6.93,False,False,False
NFLX,ANT_pup60,1849,2514,73.5,37,0.784,0.0635,35.0,2.599,0.1907,-0.0441,0.622,-0.7595,6.93,False,False,False
NFLX,ANT_pup70,1838,2514,73.1,37,0.784,0.0623,34.0,2.4173,0.1835,-0.0513,0.609,-0.7595,6.69,False,False,False
NFLX,ANT_all,1875,2514,74.6,37,0.784,0.0623,35.0,2.446,0.1809,-0.0539,0.604,-0.7595,6.6,False,False,False
NFX,buy_and_hold,784,784,100.0,0,,,,-0.4757,-0.1874,0.0,-0.245,-0.7302,-8.24,False,False,False
NFX,R1_confirmed,520,784,66.3,11,0.818,0.0486,38.0,0.5813,0.2487,0.4361,0.745,-0.4388,8.81,True,True,True
NFX,R1_share_ge50,369,784,47.1,10,1.0,0.0555,20.0,0.6984,0.4358,0.6232,1.061,-0.2114,14.35,True,True,True
NFX,ANT_pup50,690,784,88.0,11,0.545,-0.0212,57.0,-0.3648,-0.1528,0.0346,-0.138,-0.6864,-6.58,True,True,True
NFX,ANT_pup60,688,784,87.8,11,0.545,-0.018,55.0,-0.3419,-0.1421,0.0453,-0.112,-0.6864,-6.08,True,True,True
NFX,ANT_pup70,669,784,85.3,11,0.636,-0.0089,52.0,-0.2767,-0.1149,0.0725,-0.05,-0.6936,-4.84,True,True,True
NFX,ANT_all,690,784,88.0,11,0.545,-0.0212,57.0,-0.3648,-0.1528,0.0346,-0.138,-0.6864,-6.58,True,True,True
NI,buy_and_hold,2514,2514,100.0,0,,,,1.1404,0.0793,0.0,0.445,-0.3174,3.03,False,False,False
NI,R1_confirmed,1732,2514,68.9,43,0.814,0.027,26.0,1.8578,0.1651,0.0858,0.872,-0.2007,6.06,True,True,True
NI,R1_share_ge50,1402,2514,55.8,39,0.821,0.0279,18.0,1.6762,0.1936,0.1143,0.973,-0.198,7.02,True,True,True
NI,ANT_pup50,2029,2514,80.7,44,0.773,0.0262,29.0,1.6743,0.13,0.0507,0.634,-0.3479,4.85,True,True,True
NI,ANT_pup60,1994,2514,79.3,44,0.773,0.0285,28.5,2.0069,0.1493,0.07,0.775,-0.2125,5.52,True,True,True
NI,ANT_pup70,1984,2514,78.9,44,0.773,0.0285,28.5,2.0019,0.1498,0.0705,0.783,-0.2125,5.54,True,True,True
